"CASE","language","scenario","question","text","robot_label"
568,"ES","bed","open_3","costo/beneficio de el uso al adquirir este tipo de robots","Helping Patients into Bed"
568,"ES","ds","open_1","el objetivo general en el uso de este robot me parece excelente ya que realizaría tareas monotonas y sencillas, que pueden ayudar a mejorar la productividad del personal al dedicarse a otras tareas o actividades","Delivering Supplies"
568,"ES","ds","open_2","siempre existirá el riesgo ético del personal que lo tenga a su alcance, al tomar insumos, medicamentos o alguna otra sustancia indebida.","Delivering Supplies"
568,"ES","ds","open_3","robo de insumos, medicamentos etc y el uso indebido robot asistente al llevar cargas distintas a la que fué desarrollado y hacer uso personal entre los empleados","Delivering Supplies"
568,"ES","mvs","open_1","sería un auxiliar de cuidado y monitoreo de pacientes, con el debido uso, calibración y sin dejar la responsabilidad al 100 % del robot","Monitoring Vital Signs"
568,"ES","mvs","open_2","riesgo si no tiene una buena programación, calibracion, ya que al personal lo haría deslindarse de las responsabilidades en cuestion de monitoreo de signos","Monitoring Vital Signs"
568,"ES","mvs","open_3","falta etica al deslindar su responsabilidad al respecto de los signos del paciente","Monitoring Vital Signs"
569,"ES","am","open_1","uso correcto en pacientes geriatricos","Assisting with Mobility"
569,"ES","am","open_2","solo trabarse","Assisting with Mobility"
569,"ES","am","open_3","el uso y permiso","Assisting with Mobility"
569,"ES","bed","open_1","creo que puede ser peligroso si es no esta bien calibrado el robot, puede tirar o lastimar al paciente","Helping Patients into Bed"
569,"ES","bed","open_2","lastiamr al paciente","Helping Patients into Bed"
569,"ES","bed","open_3","el manejo correcto del paciente y la autorizacion de estos","Helping Patients into Bed"
569,"ES","ds","open_1","creo que en hospitales pediatricos el uso de un robot de este tipo podria poner felices o generar intereses en los pacientes pediatricos","Delivering Supplies"
569,"ES","ds","open_2","tal vez en una actividad de urgencia podria estorbar un poco","Delivering Supplies"
569,"ES","ds","open_3","pedir permiso al paciente para que el robot entre a su cuarto y pueda interactuar con el","Delivering Supplies"
569,"ES","mvs","open_1","es algo que ya uso","Monitoring Vital Signs"
569,"ES","mvs","open_2","no","Monitoring Vital Signs"
569,"ES","mvs","open_3","ninguna","Monitoring Vital Signs"
570,"ES","am","open_1","A mí me gustaría incorporarlo en mi práctica médica, porque creo que puede mejorar la movilidad de los pacientes, darles más independencia y reducir la carga de sus cuidadores primarios.","Assisting with Mobility"
570,"ES","am","open_2","No se me ocurre ninguna en este momento.","Assisting with Mobility"
570,"ES","am","open_3","Quizá explicarle al paciente y que esté de acuerdo con probarlo, evitar que haya errores en la implementación","Assisting with Mobility"
570,"ES","bed","open_1","Creo que podría ser útil para trasladar pacientes para estudios o rehabilitación. Considero que sería particularmente útil para uso privado, en casas de pacientes con dificultades de movilidad para ayudar al cuidador primario en su traslado.","Helping Patients into Bed"
570,"ES","bed","open_2","No se me ocurre ninguna","Helping Patients into Bed"
570,"ES","bed","open_3","Autonomía del paciente, minimizar riesgo de caídas","Helping Patients into Bed"
570,"ES","ds","open_1","Me gustaría incorporarlo, pero no veo tanta utilidad. Creo que es lo mismo que tener a una persona que se encargue de llevar medicamentos y tendría el mismo costo.","Delivering Supplies"
570,"ES","ds","open_2","Me preocupa lo fácil que sea intervenir al robot y robar medicamentos, especialmente con medicamentos controlados","Delivering Supplies"
570,"ES","ds","open_3","Sólo poder comprobar que sólo ciertas personas puedan acceder a él","Delivering Supplies"
570,"ES","mvs","open_1","Creo que agilizaría el proceso de toma de signos y permitiría que el personal médico pudiera concentrarse en otras tareas. Particularmente con los niños creo que podría facilitar este proceso y hacerlo más divertido para ellos.","Monitoring Vital Signs"
570,"ES","mvs","open_2","Me gustaría que se pudiera comprobar que los signos vitales se toman de forma correcta, para evitar errores prevenibles.","Monitoring Vital Signs"
570,"ES","mvs","open_3","Que cometa los menores errores posibles, comprobar que los pacientes se sientan cómodos con él","Monitoring Vital Signs"
571,"ES","am","open_1","En contacto con pacientes psiquiátricos o geriatricos","Assisting with Mobility"
571,"ES","am","open_2","Que el robot no entienda l tarea específica, que se trabe y pueda lastimar al paciente","Assisting with Mobility"
571,"ES","am","open_3","Que deba estar bajo vigilancia de una persona real","Assisting with Mobility"
571,"ES","bed","open_1","Tendría que hacerse bajo la vigilancia de alguna persona por qué qué tal si no reconoce la superficie donde pondrá al paciente y se cae, o si se atora con algo","Helping Patients into Bed"
571,"ES","bed","open_2","No encuentro ninguna preocupación etica","Helping Patients into Bed"
571,"ES","bed","open_3","Ninguna","Helping Patients into Bed"
571,"ES","ds","open_1","Se me hace una manera eficaz de ahorrar tiempo y energía al personal de salud para transportar material","Delivering Supplies"
571,"ES","ds","open_2","No hay ninguno, tal vez el riesgo sería que lo puedan robar y alguien use mal los complementos medicos","Delivering Supplies"
571,"ES","ds","open_3","El transporte de ciertos medicamentos por qué cualquiera los podría agarrar","Delivering Supplies"
571,"ES","mvs","open_1","No encuentro ningún motivo para no usarse","Monitoring Vital Signs"
571,"ES","mvs","open_2","No veo ninguno, se puede utilizar perfectamente","Monitoring Vital Signs"
571,"ES","mvs","open_3","Qué tal vez pueda desplazar a los enfermeros","Monitoring Vital Signs"
572,"ES","am","open_1","Este tipo de robot brindaría un apoyo impresionante al sector de rehabilitación en diferentes poblaciones de pacientes así que puede brindar beneficio tanto al paciente pediátrico, pacientes que hayan sufrido algún evento cerebrovascular, accidente que haya dejado secuela de paraplejia, pacientes con fracturas en extremidades inferiores, entre otros ejemplos.","Assisting with Mobility"
572,"ES","am","open_2","No veo que pueda verse riesgo en alguna situación ética.","Assisting with Mobility"
572,"ES","am","open_3","Se debería de considerar solamente diferentes opciones de materiales y/o colores por preferencia del paciente. Fuera de eso, no veo algún inconveniente.","Assisting with Mobility"
572,"ES","bed","open_1","Este tipo de robot sería revolucionaro en el ámbito hospitalario principalmente en paciente adulto o adulto mayor. Creo que aquí se beneficia todo personal humano al poder brindar un apoyo al traslado de pacientes y reduciendo la posibilidad de lesiones dentro del personal de salud.","Helping Patients into Bed"
572,"ES","bed","open_2","Con supervisión adecuada de una persona, no veo ningún inconveniente sobre el robot y su función de traslado de pacientes.","Helping Patients into Bed"
572,"ES","bed","open_3","Debería de considerarse solamente el tipo de material que sostendría al paciente y con ello qué tan cómodo pudiera ser para el paciente. Fuera de eso no veo ningún conflicto ético dentro del ámbito hospitalario.","Helping Patients into Bed"
572,"ES","ds","open_1","Este tipo de robot podría brindar mayor eficiencia y ahorro de personal en tareas no tan productivas. De esta manera se podría establecer un suministro continuo y más eficiente dentro de hospitales.","Delivering Supplies"
572,"ES","ds","open_2","No veo ningún riesgo en ámbito médico a nivel hospitalario.","Delivering Supplies"
572,"ES","ds","open_3","Lo único que se debería de considerar con este tipo de robots sería que se mantenga mantenimiento adecuado para no verse afectado sensores o componentes que pudieran afectar la manera de andar del robot y poder ocasionar un accidente a nivel intrahospitalario.","Delivering Supplies"
572,"ES","mvs","open_1","Creo es algo muy útil al momento de recabar signos vitales. Me parece que su uso pudiera ser más relevante al interactuar en pacientes pediátricos o adulto joven. Veo que pudiera ser no tan adecuado en grupos de poblaciones donde se amerite más el tacto persona a persona como en pacientes geriátricos, psiquiátricos, entre otros.","Monitoring Vital Signs"
572,"ES","mvs","open_2","No veo ningún riesgo a la ética y al contrato veo una manera de evolucionar dentro del ámbito de la salud. Poco a poco podría brindar ayuda al personal para poder ser más eficientes y reducir las fallas que se pudieran dar más comunmente por el humano.","Monitoring Vital Signs"
572,"ES","mvs","open_3","Al momento de implementar esto en hospitales, deberían de realizar pruebas en diferentes poblaciones dentro de un hospital. De esa manera podrían ver que tipo de población recibe de manera más adecuada a este tipo de robot y por otra parte, poder adaptar diferentes tipos de robot para diferentes poblaciones.","Monitoring Vital Signs"
573,"ES","am","open_1","Es una buena herramienta y les sería muy útil a los pacientes","Assisting with Mobility"
573,"ES","am","open_2","Ninguno, creo es sería de mucha ayuda y terapia","Assisting with Mobility"
573,"ES","am","open_3","Hasta ahora tal vez la eficacia, ver las creencia de los pacientes. Pero éticamente no veo inconveniente","Assisting with Mobility"
573,"ES","bed","open_1","Me parece buena idea ya que luego no hay suficientes camilleros y es escencial transladar a un paciente","Helping Patients into Bed"
573,"ES","bed","open_2","Tal vez el riesgo de una caida","Helping Patients into Bed"
573,"ES","bed","open_3","Creo que esto puede llegar a ser ético ya que incluso sería ayuda para no lesionar a los camilleros","Helping Patients into Bed"
573,"ES","ds","open_1","Es muy aceptable porque es una tarea que facilitaría el trabjo y permitiria que las enfermeras o doctores se concentren más en otras actividades.","Delivering Supplies"
573,"ES","ds","open_2","no, ninguno es una buena herramienta","Delivering Supplies"
573,"ES","ds","open_3","Ninguna a mi parecer","Delivering Supplies"
573,"ES","mvs","open_1","Creo que seía una buena alternativa, sólo que si necesitarian que se estuviera moritoneando para evitar riesgos.","Monitoring Vital Signs"
573,"ES","mvs","open_2","En caso de alguna falla en el sistema o algo, se estaría jugando la vida de un paciente.","Monitoring Vital Signs"
573,"ES","mvs","open_3","La falta de tacto con el paciente, la credibilidad, la vocación, así como la confianza","Monitoring Vital Signs"
574,"ES","am","open_1","Pueden ayudar mucho a movilizar y rehabilitar pacientes con dificultades y también ahorrar tiempo en movilizarlos para realizar otras tareas","Assisting with Mobility"
574,"ES","am","open_2","Que realmente sean seguros, especialmente para pacientes pediátricos","Assisting with Mobility"
574,"ES","am","open_3","Que no solo sea un reemplazo para moverse que ayude a una rehabilitación si es posible para que puedan volver a caminar por si mismos","Assisting with Mobility"
574,"ES","bed","open_1","Me parece útil para movilizar pacientes pesados en caso de estar solo y no poder llamar a otro compañero o con pacientes frágiles","Helping Patients into Bed"
574,"ES","bed","open_2","Solo la renuencia de los pacientes para ser movilizados por un robot","Helping Patients into Bed"
574,"ES","bed","open_3","Respetar la decisión del paciente para ser movilizado por el robot o no, alguna check list para verificar si es estrictamente necesario usarlo según las condiciones del paciente","Helping Patients into Bed"
574,"ES","ds","open_1","Ahorra tiempo de traslado al entregar muestras, ese tiempo puede usarse en la atención del paciente","Delivering Supplies"
574,"ES","ds","open_2","Que pueda fallar o violarse su seguridad y exponer muestras importantes a manos equivocadas","Delivering Supplies"
574,"ES","ds","open_3","La seguridad de las muestras y la confidencialidad, que realmente se asegure que llegarán sin problemas","Delivering Supplies"
574,"ES","mvs","open_1","Puede ayudar a aminorar la carga de trabajo en situaciones de mucho trabajo","Monitoring Vital Signs"
574,"ES","mvs","open_2","Que pueda haber algún fallo en la toma de signos por fallas en la maquinaria","Monitoring Vital Signs"
574,"ES","mvs","open_3","Que se pueda pensar que reemplaza el trabajo de enfermería y que en algún punta pueda reemplazarlo por completo","Monitoring Vital Signs"
575,"ES","am","open_1","Creo que es un robot más orientado hacia el uso en casa, es decir, que se utilice por parte de fisioterapeutas a domicilio o como parte de terapia fisica en ciertos pacientes.","Assisting with Mobility"
575,"ES","am","open_2","No, ninguno. Creo que eticamente no tiene problemas","Assisting with Mobility"
575,"ES","am","open_3","No creo que haya cuestiones eticas con este tipo de robots","Assisting with Mobility"
575,"ES","bed","open_1","Aceptarlo debido a que muchas veces hay poco personal para la mobilización de pacientes.","Helping Patients into Bed"
575,"ES","bed","open_2","No, creo que son interacciones eticas, que no repercuten en los pacientes","Helping Patients into Bed"
575,"ES","bed","open_3","Solo el manejo de la información sensible de los pacientes","Helping Patients into Bed"
575,"ES","ds","open_1","Creo que ayuda a que el personal de salud tenga un mejor uso de su tiempo en tareas mas complejas que el llevar medicamentos. Es una tarea que toma tiempo y es reptitiva.","Delivering Supplies"
575,"ES","ds","open_2","Si, la confusión en medicamentos, en pacientes o dosis podria ser un problema","Delivering Supplies"
575,"ES","ds","open_3","Considerar un control humano en la dispensión de medicamentos, verificar que lleguen al paciente correcto en el tiempo correcto. Util, pero no en situaciones de emergencia","Delivering Supplies"
575,"ES","mvs","open_1","Creo que aunque es util, faltan signos vitales como la TA. Ahorra un poco de tiempo al personal de salud. Pero veo complicado que pacientes geriatricos o pediatricos se relacionen con el robot.","Monitoring Vital Signs"
575,"ES","mvs","open_2","Solo el cuidado de la información e identidad de los pacientes","Monitoring Vital Signs"
575,"ES","mvs","open_3","Igualmente, cuidado de la identidad e información de los pacientes.","Monitoring Vital Signs"
576,"ES","am","open_1","Para facilitar y acelerar el trabajo del personal de salid","Assisting with Mobility"
576,"ES","am","open_2","Que debe estar monitoreado constantemente","Assisting with Mobility"
576,"ES","am","open_3","Monitorear constantemente el robot","Assisting with Mobility"
576,"ES","bed","open_1","Facilitaría mucho el trabajo para el personal de salud","Helping Patients into Bed"
576,"ES","bed","open_2","Al momento que haya alguna falla al utilizar el robot","Helping Patients into Bed"
576,"ES","bed","open_3","Se debería estar en supervisión siempre de una persona al momento de usarse","Helping Patients into Bed"
576,"ES","ds","open_1","Puede ayudar de manera muy positiva y eficiente a acelerar los tiempos perdidos en algún procedimiento que se necesite hacer de inmediato.","Delivering Supplies"
576,"ES","ds","open_2","Podría ser al momento de alguna equivocación por parte del robot.","Delivering Supplies"
576,"ES","ds","open_3","Que cuente con medidas de seguridad al momento de entregar las cosas.","Delivering Supplies"
576,"ES","mvs","open_1","Para acelerar y aumentar la eficacia del trabajo de los profesionales de la salud","Monitoring Vital Signs"
576,"ES","mvs","open_2","Pues al momento de algún fallo del robot","Monitoring Vital Signs"
576,"ES","mvs","open_3","Constantemente verificar que funcione correctamente","Monitoring Vital Signs"
577,"ES","am","open_1","lo acepto porque es una gran oportunidad y lo rechazo solo porque se populariza el traer al mundo personas con discapacidad, está bien si fue algo traumatico pero si ya se conoce que el feto viene con alguna discapacidad importante sería apropiado buscar alternativas","Assisting with Mobility"
577,"ES","am","open_2","Considero una gran oportunidad para las personas que lo nesecitan","Assisting with Mobility"
577,"ES","am","open_3","la poblacion a la que va orientada","Assisting with Mobility"
577,"ES","bed","open_1","lo acepto porque la carga mental es suficiente en el personal de salud, el poder ayudarlos con la parte física es de gran ayuda","Helping Patients into Bed"
577,"ES","bed","open_2","No, no hay procupación ética","Helping Patients into Bed"
577,"ES","bed","open_3","COnsidero que siempre debe vigilarse por alguien capacitado","Helping Patients into Bed"
577,"ES","ds","open_1","Porque el caminar para colectar el material toma tiempo y porque sería más seguro ya que el material estaria en resguardo dentro del robot","Delivering Supplies"
577,"ES","ds","open_2","me parece que no, su fin sería como tal distribuir material y medicamentos, no pordemos el toque humano que es lo que tiende a generar controversia","Delivering Supplies"
577,"ES","ds","open_3","seguridad, que no sea ""hackeable"", que no deje de necesitarse participación de personal capacitado o del área de la salud","Delivering Supplies"
577,"ES","mvs","open_1","aceptarlo para hacer mas efectiva la labor y más agil, se podría rechazar en caso de que los datos obtenidos no sean confiables","Monitoring Vital Signs"
577,"ES","mvs","open_2","Considero que es de mucha ayuda","Monitoring Vital Signs"
577,"ES","mvs","open_3","si debería considerarse, muchas veces no prestamos atención a la importancia de los signos vitales","Monitoring Vital Signs"
578,"ES","am","open_1","Puede llegar a ser útil pero necesitaría mucho entrenamiento para conocer a los pacientes y que las rehabilitaciones sean personalizadas.","Assisting with Mobility"
578,"ES","am","open_2","No todos los pacientes podrían utilizarlos y esto podría causar discriminación","Assisting with Mobility"
578,"ES","am","open_3","Ninguna","Assisting with Mobility"
578,"ES","bed","open_1","Me parece un robot que realmente podría ser útil. Mover pacientes geriátricos suele ser muy complicado por diversas razones, por ejemplo el estado mental, el peso del paciente, etc. 
Aunque puede ser útil considero que representaría un choque dentro de la sociedad, además tomando en cuenta el hospital donde trabajo, donde hay muchos pacientes y poco espacio, podría llegar a estorbar más de lo que ayuda.","Helping Patients into Bed"
578,"ES","bed","open_2","No","Helping Patients into Bed"
578,"ES","bed","open_3","Tal vez, algunos pacientes podrían pensar que se les está siendo grabados ya que el robot tiene ojos.","Helping Patients into Bed"
578,"ES","ds","open_1","Me parece un robot bastante útil para reabastecer las áreas de enfermería, o incluso cuando se necesita hacer algún procedimiento en cama para solo pedir las cosas y recibirlas todas al mismo tiempo.","Delivering Supplies"
578,"ES","ds","open_2","Podría llegar a ser peligroso que esté al alcance de los pacientes, que alguno intentara tomar algo.","Delivering Supplies"
578,"ES","ds","open_3","Seguridad de los pacientes.","Delivering Supplies"
578,"ES","mvs","open_1","Este tipo de robots podría ser muy útil cuando se debe hacer curvas de signos constantemente al mismo paciente. Más que por el robot sino porque los datos pasan directamente a los expedientes electrónicos, creo que esta es la problemática más grande (se pierden las hojas donde se anotan, o se olvidan los signos antes de entregarlos al médico)","Monitoring Vital Signs"
578,"ES","mvs","open_2","No","Monitoring Vital Signs"
578,"ES","mvs","open_3","Que el paciente sienta que está siendo grabado","Monitoring Vital Signs"
579,"ES","bed","open_1","Yo aceptaría la integración de la asistencia del robot, ya que permitiría facilitar algunas cargas o responsabilidades, tal como se mostró en el video donde asistió al levantar con delicadeza a la paciente de la cama. Además, está equipado con un colchoncito en los brazos que permite una mayor comodidad al momento de cargarla. Incluso puede funcionar como una especie de enfermera, disponible en cualquier momento en que el paciente requiera asistencia, especialmente en situaciones donde no haya personal de enfermería disponible.","Helping Patients into Bed"
579,"ES","bed","open_2","Supongo que, al ser un objeto tangible, el robot podría presentar alguna falla que ocasionara un accidente con el paciente. Por ejemplo, si estuviera transfiriendo a una persona y dejara de funcionar repentinamente, podría soltarla y causarle una lesión.","Helping Patients into Bed"
579,"ES","bed","open_3","Algunas cuestiones eticas seria la responsabilidad ante posibles fallos del robot. También es importante garantizar que el uso de esta tecnología complemente el labor del personal de salud y no lo reemplace por completo, manteniendo siempre la atención humana como elemento central en el cuidado.","Helping Patients into Bed"
579,"ES","ds","open_1","Estoy de acuerdo con utilizar la asistencia de este robot, en específico en estos tipos entornos, porque considero que ayudaría a mejorar la organización y eficencia, y permitiría al personal atender a otros pacientes, mientras el robot se encarga de entregar los suministros necesarios.","Delivering Supplies"
579,"ES","ds","open_2","Una preocupación ética que puede surgir es asegurar que el uso del robot no sustituya la atención humana, sino que funcione como un apoyo al personal de salud y una herramienta para facilitar la eficiencia.","Delivering Supplies"
579,"ES","ds","open_3","No hacer el robot tan inteligente sino programarlo únicamente para cumplir su función, de modo que no sustituya por completo el trabajo del personal.","Delivering Supplies"
580,"ES","am","open_1","Lo aceptaría porque puede ser muy útil, especialmente para terapias de rehabilitación.","Assisting with Mobility"
580,"ES","am","open_2","No, al contrario, creo que es muy buena opción.","Assisting with Mobility"
580,"ES","am","open_3","Que siempre el paciente esté acompañado por personal del hospital.","Assisting with Mobility"
580,"ES","bed","open_1","A veces, para una sola persona, es complicado realizar tareas de fuerza que impliquen movilizar pacientes, tanto por la facilidad como por el peso.","Helping Patients into Bed"
580,"ES","bed","open_2","Riesgo de caídas, pero creo que teniendo los cuidados y usándolo solo como apoyo, puede no tener riesgo.","Helping Patients into Bed"
580,"ES","bed","open_3","Cuidados del entorno para reducir riesgo de caídas.","Helping Patients into Bed"
580,"ES","ds","open_1","Lo aceptaría porque me parece perfecta la intención, pero no en situaciones de emergencia, ya que puede retrasar ciertas atenciones.","Delivering Supplies"
580,"ES","ds","open_2","La rapidez con la que actúa, ya que en ocasiones urgentes no sería muy útil. Y el avisar muy bien a todos, porque podría aparentar que se mueve solo y ser peligroso.","Delivering Supplies"
580,"ES","ds","open_3","Ninguna, solo el uso únicamente en situaciones que no son de emergencia.","Delivering Supplies"
580,"ES","mvs","open_1","Pienso que es muy útil para realizar el trabajo rápido, pero parte importante de valorar a los pacientes y tomar signos vitales, es verlos y explorarlos, y ver si hay alguna otra alteración que probablemente el robot no me avisa.","Monitoring Vital Signs"
580,"ES","mvs","open_2","Sí, por los detalles que no incluye la revisión y son importantes para el estado general del paciente.","Monitoring Vital Signs"
580,"ES","mvs","open_3","Que haga una revisión general del paciente y reporte de inmediato con sonidos si algo no está bien.","Monitoring Vital Signs"
581,"ES","am","open_1","La principal razon para aceptar al robot es que sin importar la complexión del paciente, éste ayudaría a la movilización del paciente para acelerar su recuperación.
Se podría rechazar el robot por costo inaccesible.","Assisting with Mobility"
581,"ES","am","open_2","No veo ningún riesgo porque en todo momento estará configurado para que realice lo que se le pide.","Assisting with Mobility"
581,"ES","am","open_3","Que el personal de salud siempre se encuentre presente cuando se utilice el robot","Assisting with Mobility"
581,"ES","bed","open_1","La razón para aceptar es que elimina la tarea de cargar al apciente para moverlo. 
La razón para rechazar el robat es que se le puede caer el paciente y no reaccionaría para detenerlo.","Helping Patients into Bed"
581,"ES","bed","open_2","Al robot se le podría caer el paciente por un mal movimiento.","Helping Patients into Bed"
581,"ES","bed","open_3","No poner en riesgo la salud del paciente","Helping Patients into Bed"
581,"ES","ds","open_1","La razón para aceptar es que le restaría tiempo al personal cuando en lugar de ir a entregar algo, podrían realizar otra cosa. 
La razón para rechazar el robot sería que sólo se puede utilizar en caso en los que no haya urgencia para entregar dichos medicamentos o resultados, debido a que se observa que no manejan una gran velocidad.","Delivering Supplies"
581,"ES","ds","open_2","Veo el riesgo de que no complete la entrega.","Delivering Supplies"
581,"ES","ds","open_3","Considero que el robot puede tener fallas a la hora de entrega o no completarla.","Delivering Supplies"
581,"ES","mvs","open_1","La razón para aceptar el robot es que obtienes los signos vitales de los pacientes de manera más rápida y eficaz.
La razón para rechazarlo sería el costo elevado.","Monitoring Vital Signs"
581,"ES","mvs","open_2","No veo ningún riesgo en utilizar este robot","Monitoring Vital Signs"
581,"ES","mvs","open_3","Realizar un buen mantenimiento para evitar fallas.","Monitoring Vital Signs"
583,"ES","am","open_1","se ajusta a las necesidades del paciente, hace que disminuya el riesgo de lesion laboral por elpeso de los pacientes","Assisting with Mobility"
583,"ES","am","open_2","ninguno de momento","Assisting with Mobility"
583,"ES","am","open_3","beneficiencia, no maleficiencia.","Assisting with Mobility"
583,"ES","bed","open_1","el cuidado, la facilidad de movimiento y el uso","Helping Patients into Bed"
583,"ES","bed","open_2","caidas","Helping Patients into Bed"
583,"ES","bed","open_3","beneficio del paciente","Helping Patients into Bed"
583,"ES","ds","open_1","apoyo para cuando se ocupa medicamento rapido y se ocupa el personal","Delivering Supplies"
583,"ES","ds","open_2","ninguna de momento","Delivering Supplies"
583,"ES","ds","open_3","beneficiencia","Delivering Supplies"
583,"ES","mvs","open_1","practico","Monitoring Vital Signs"
583,"ES","mvs","open_2","ninguno","Monitoring Vital Signs"
583,"ES","mvs","open_3","beneficiencia","Monitoring Vital Signs"
584,"ES","am","open_1","Es una herramienta muy util para la movilidad de los pacientes, me parece innovador y facilita el trabajo al personal de salud al mismo tiempo que ayuda a los pacientes a recuperarse, ya que puede ayudar a realizar ejercicios que el personal no puede en muchos casos.","Assisting with Mobility"
584,"ES","am","open_2","No veo algún riesgo al respecto, me parece seguro en el ámbito correcto","Assisting with Mobility"
584,"ES","am","open_3","Que el paciente esté de acuerdo en el uso de este, ya que es un aparato que está diseñado para estar en contacto directo con el y podría sentirse un poco incomodo. Sin embargo al explicarle los beneficios que trae consigo el paciente puede cambiar su punto de vista, para mejorar su salud y movilidad","Assisting with Mobility"
584,"ES","bed","open_1","Me parece un poco peligroso pensar en el hecho que puede fallar y causar daños al paciente, que el robot llegue a sostener de mal manera, o que pierda su funcion en el momento del traslado y el paciente caiga. Tambien se pueden presentar mas fallas en pacientes que son de mayor peso, que justo son con los que se requiere más la ayuda","Helping Patients into Bed"
584,"ES","bed","open_2","El riesgo que menciono acerca de caidas accidentales en el paciente, que puede llevar a dañar su integridad","Helping Patients into Bed"
584,"ES","bed","open_3","Que el robot esté supervisado correctamente, para evitar sus fallas o en caso de fallar que el personal esté capacitado para actuar correctamente","Helping Patients into Bed"
584,"ES","ds","open_1","Me parece una herramienta útil, sin embargo considero que puede ser poco practico por la velocidad en que le robot puede trasladarse, realmente sería mas útil que una persona lo hiciera. Aún así, considero que en ambientes mas ""tranquilos"" podría funcionar bien","Delivering Supplies"
584,"ES","ds","open_2","Sí, puede haber errores cometidos por el robot y nadie se haría responsable al respecto.","Delivering Supplies"
584,"ES","ds","open_3","Relacionado a lo mismo de la practicidad, puede haber errores, perdida de instrumentos, mal control del material. Y todo esto conlleva un riesgo para el paciente","Delivering Supplies"
584,"ES","mvs","open_1","Me resulta util para realizar estas tareas que no son invasivas para el paciente y que facilitan al personal realizar su trabajo, aunque considero que podria cometer errores","Monitoring Vital Signs"
584,"ES","mvs","open_2","Errores mecánicos, fallas en los resultados, poca especificidad. Y esto conlleva a falsa información acerca del paciente y el personal se puede confiar y no verificar la información. Es riesgoso confiarse en los resultados ya que puede dejarse pasar errores","Monitoring Vital Signs"
584,"ES","mvs","open_3","Lo que menciono de no verificar la información, ya que puede dar falsos resultados y no llevar un manejo correcto de los signos vitales del paciente","Monitoring Vital Signs"
585,"ES","am","open_1","Aceptar:
La ayuda real en la rehabilitación se da al proporcionar soporte físico, estabilidad y confianza al paciente.  Esto puede reducir significativamente el esfuerzo del cuidador durante sesiones largas o físicamente demandantes. En el video, se observa cómo el robot sostiene peso y guía el movimiento, lo que brinda una sensación de seguridad y progreso controlado.
Rechazar:
Existe la preocupación de que el robot falle mientras el paciente está de pie o en movimiento, lo que podría generar inseguridad.  Algunos pacientes, especialmente niños o personas ansiosas, podrían sentirse incómodos al depender de un dispositivo mecánico para una tarea tan delicada como volver a caminar.","Assisting with Mobility"
585,"ES","am","open_2","Existe el riesgo de que los datos captados por sensores (postura, equilibrio, patrones de movimiento) no se manejen con suficiente privacidad. También surge la inquietud de que se confíe demasiado en el robot y se reduzca la supervisión humana, lo cual es crítico cuando un paciente está vulnerable o en recuperación.","Assisting with Mobility"
585,"ES","am","open_3","Garantizar que el robot sea seguro incluso ante fallas. Definir quién es responsable si ocurre un accidente durante la terapia. Proteger los datos biométricos que el robot registra. Y asegurarse de que el uso del dispositivo complemente la rehabilitación sin reemplazar el acompañamiento humano, que sigue siendo esencial para la motivación y el bienestar del paciente.","Assisting with Mobility"
585,"ES","bed","open_1","Aceptar: Ayuda a levantar y trasladar pacientes con seguridad, evitando lesiones al personal y proporcionando movimientos estables y controlados, como se muestra en el video.

Rechazar: Puede generar inseguridad si el paciente teme caídas o prefiere la asistencia humana. Además, puede sentirse impersonal en situaciones delicadas..","Helping Patients into Bed"
585,"ES","bed","open_2","El mayor riesgo es la seguridad física durante la transferencia; una falla mecánica podría causar caídas. También hay preocupación por sustituir el acompañamiento humano en un momento que requiere atención sensible.","Helping Patients into Bed"
585,"ES","bed","open_3","Garantizar la seguridad en el levantamiento, claridad sobre quién es responsable en caso de falla, y asegurar que el robot complemente al personal sin reemplazar el trato humano. También considerar el consentimiento del paciente y su comodidad al ser movilizado por una máquina.","Helping Patients into Bed"
585,"ES","ds","open_1","Aceptar: Reduce la carga de trabajo, mejora la eficiencia y minimiza los riesgos en situaciones de aislamiento. Permite que el personal se enfoque en los cuidados humanos.
Rechazar: Puede generar dependencia tecnológica, reducir la interacción humana y fallar en momentos críticos.","Delivering Supplies"
585,"ES","ds","open_2","Privacidad de datos captados por sensores y cámaras, posibilidad de deshumanizar el cuidado y falta de control sobre errores o fallas.","Delivering Supplies"
585,"ES","ds","open_3","Protección de datos, claridad sobre responsabilidades, seguridad física del robot en entornos dinámicos, integración que no sustituya el trato humano y uso equitativo en todas las áreas del hospital.","Delivering Supplies"
585,"ES","mvs","open_1","Aceptar: El robot mide signos vitales de forma rápida y automática, reduciendo errores y carga de trabajo. El video muestra que es fácil de usar, presenta datos claros y puede interactuar de forma amigable, lo que facilita la evaluación diaria sin incomodar al paciente.

Rechazar: Puede generar desconfianza si el paciente prefiere la revisión humana o si siente que el robot no capta detalles únicos que solo observa un profesional. También podría resultar frío o impersonal para algunos pacientes.","Monitoring Vital Signs"
585,"ES","mvs","open_2","El manejo de datos sensibles es el mayor riesgo: el robot almacena y sincroniza información médica, así que cualquier falla o acceso no autorizado afectaría la privacidad del paciente. También existe la preocupación de depender demasiado del robot y pasar por alto la valoración clínica humana.","Monitoring Vital Signs"
